AllergenID,Allergen,Concentration,Medium,Series,Category,Grouping,SeriesAC,SeriesAU,SeriesBB,SeriesEU,SeriesIC,SeriesNA,SeriesJP,CategoryAA,CategoryAP,CategoryCS,CategoryDC,CategoryEE,CategoryEM,CategoryFA,CategoryLA,CategoryMC,CategoryMS,CategoryNP,CategoryPF,CategoryPG,CategoryRC,CategoryST,GroupCG,GroupBA,GroupCL,GroupDP,GroupDT,GroupEL,GroupFW,GroupHD,GroupLU,GroupMI,GroupPA,GroupPC,GroupSS
AP119,(nitrobutyl)morpholine / (ethylnitrotrimethylene)dimorpholine (Bioban™ P 1487),1.0,petrolatum,,AP,CL,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
MS398,"1,2-benzisothiazoline-3-one, sodium salt",0.1,petrolatum,,AP,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
CL430,"1,3,5-tris(2-hydroxyethyl)-hexahydrotriazine (Grotan BK)",1.0,petrolatum,,AP,CG CL,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False
DM211,"1,3-butandiol-dimethacrylate",2.0,petrolatum,,PG,DP,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
RC265,"1,3-diphenylguanidine (DPG)",1.0,petrolatum,AC NA,RC,FW,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
PG319,"1,4-butandioldimethacrylat (BUDMA)",2.0,petrolatum,,PG,DP DT,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
PG320,"1,4-butanedioldiglycidyl ether",0.25,petrolatum,,PG,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,
PG321,"1,6-hexanediol diglycidyl ether",0.25,petrolatum,,PG,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,
CL440,2-(2-aminoethoxy)ethanol (diglycolamine),1.0,petrolatum,,,CL,,,,,,,,,,,,,,,,,,,,,,,False,False,True,False,False,False,False,False,False,False,False,False,False
NA03,"2-bromo-2-nitropropane-1,3-diol (bronopol™)",0.5,petrolatum,AC AU BB NA,AP,CG CL EL HD,True,True,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False
PG295,2-ethylhexyl acrylate,0.1,petrolatum,,PG,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,
SS500,2-ethylhexyl p-(dimethylamino)benzoate,10.0,petrolatum,,,PA SS,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,True,False,True
SS501,2-ethylhexyl-4-methoxycinnamate (octinoxate),10.0,petrolatum,AC AU,,PA SS,True,True,False,False,False,False,False,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,True,False,True
NA85,2-hydroxy-4-methoxybenzophenone (oxybenzone),10.0,petrolatum,AC AU NA,,CG PA SS,True,True,False,False,False,True,False,,,,,,,,,,,,,,,,True,False,False,False,False,False,False,False,False,False,True,False,True
NA72,2-hydroxyethyl methacrylate (HEMA),2.0,petrolatum,AC AU NA,PG,DP DT,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False
DM210,2-hydroxyethyl methacrylate (HEMA),1.0,petrolatum,,PG,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,
DM212,2-hydroxy-ethylacrylate,0.1,petrolatum,,PG,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,,,,,,,,,,,,,
AP75,"2-hydroxymethyl-2-nitro-1,3-propanediol",1.0,petrolatum,,AP,,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,
DM213,2-hydroxypropyl-methacrylate,2.0,petrolatum,,PG,DT,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
RC266,2-mercaptobenzimidazole,1.0,petrolatum,,RC,,,,,,,,,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,
ST160,2-mercaptobenzothiazole,2.0,petrolatum,AU BB EU IC,RC,CL FW,False,True,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,False
NA05,2-mercaptobenzothiazole,1.0,petrolatum,AC NA,RC,,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,,,,,,,,,,,,,
PA460,"3,4,4'-triclocarban",1.0,petrolatum,,AP,CL PA,,,,,,,,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False
SS503,"3,4-methyl benzylidene camphor",10.0,petrolatum,,,PA SS,,,,,,,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False,False,False,False,True,False,True
HD475,3-aminophenol,1.0,petrolatum,,DC,HD,,,,,,,,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
